C.S,C.H,C.B,C.L,P.S,P.H,P.B,P.L,C.B -C.L,C.B - P.B,C.B - P.L,C.L -P.B,C.L - P.L,P.B -P.L,P.S - P.H,P.S - P.B,P.S - P.L,P.H - P.B,P.H - P.L
178.4,182.4,168.85,165.45,,,,,3.4,,,,,,,,,,
177.5,180.45,178.7,178.3,178.4,182.4,168.85,165.45,0.4,9.85,13.25,9.45,12.85,3.4,-4,9.55,12.95,13.55,16.95
175.4,178.3,174.7,172.5,177.5,180.45,178.7,178.3,2.2,-4,-3.6,-6.2,-5.8,0.4,-2.95,-1.2,-0.8,1.75,2.15
175.4,178.3,174.7,172.5,175.4,178.3,174.7,172.5,2.2,0,2.2,-2.2,0,2.2,-2.9,0.7,2.9,3.6,5.8
178,178.6,178.55,176.15,175.4,178.3,174.7,172.5,2.4,3.85,6.05,1.45,3.65,2.2,-2.9,0.7,2.9,3.6,5.8
177.45,178.5,178.05,177.5,178,178.6,178.55,176.15,0.55,-0.5,1.9,-1.05,1.35,2.4,-0.6,-0.55,1.85,0.05,2.45
175.4,178.3,174.7,172.5,177.45,178.5,178.05,177.5,2.2,-3.35,-2.8,-5.55,-5,0.55,-1.05,-0.6,-0.05,0.45,1
170.1,175.5,170.45,167.8,175.4,178.3,174.7,172.5,2.65,-4.25,-2.05,-6.9,-4.7,2.2,-2.9,0.7,2.9,3.6,5.8
166,168.7,165,162.05,170.1,175.5,170.45,167.8,2.95,-5.45,-2.8,-8.4,-5.75,2.65,-5.4,-0.35,2.3,5.05,7.7
165.6,169.5,163.3,160.1,166,168.7,165,162.05,3.2,-1.7,1.25,-4.9,-1.95,2.95,-2.7,1,3.95,3.7,6.65
185.3,186.95,164.25,164.8,165.6,169.5,163.3,160.1,-0.55,0.95,4.15,1.5,4.7,3.2,-3.9,2.3,5.5,6.2,9.4
187.6,193.5,185.65,185.1,185.3,186.95,164.25,164.8,0.55,21.4,20.85,20.85,20.3,-0.55,-1.65,21.05,20.5,22.7,22.15
